CommonName,SciName2,Year,Count,CountPartyHour,Flags,PartyHours
American Black Duck,Anas rubripes,1933,71,0,,0
American Black Duck,Anas rubripes,1934,65,0,,0
American Black Duck,Anas rubripes,1935,7,0,,0
American Black Duck,Anas rubripes,1936,17,0,,0
American Black Duck,Anas rubripes,1937,550,0,,0
American Black Duck,Anas rubripes,1938,1024,40.1569,,25.5
American Black Duck,Anas rubripes,1940,21,0,,0
American Black Duck,Anas rubripes,1941,345,13.2692,,26
American Black Duck,Anas rubripes,1943,16,0.4571,,35
American Black Duck,Anas rubripes,1945,218,6.8125,,32
American Black Duck,Anas rubripes,1946,36,1.125,,32
American Black Duck,Anas rubripes,1949,258,0,,0
American Black Duck,Anas rubripes,1950,84,4.4211,,19
American Black Duck,Anas rubripes,1951,185,20.5556,,9
American Black Duck,Anas rubripes,1954,190,3.7255,,51
American Black Duck,Anas rubripes,1955,317,5.7636,,55
American Black Duck,Anas rubripes,1957,127,3.0238,,42
American Black Duck,Anas rubripes,1958,157,2.661,,59
American Black Duck,Anas rubripes,1959,547,10.1296,,54
American Black Duck,Anas rubripes,1960,717,13.2778,,54
American Black Duck,Anas rubripes,1961,393,8.1875,,48
American Black Duck,Anas rubripes,1962,550,7.8571,,70
American Black Duck,Anas rubripes,1963,130,2.3214,,56
American Black Duck,Anas rubripes,1964,630,9,,70
American Black Duck,Anas rubripes,1965,730,10.4286,,70
American Black Duck,Anas rubripes,1966,580,9.8305,,59
American Black Duck,Anas rubripes,1967,510,6.7105,,76
American Black Duck,Anas rubripes,1968,120,2.8571,,42
American Black Duck,Anas rubripes,1969,770,12.8333,,60
American Black Duck,Anas rubripes,1970,570,14.25,,40
American Black Duck,Anas rubripes,1971,600,10.1695,,59
American Black Duck,Anas rubripes,1972,715,8.2184,,87
American Black Duck,Anas rubripes,1973,1532,22.5294,,68
American Black Duck,Anas rubripes,1974,1092,13.4815,,81
American Black Duck,Anas rubripes,1975,645,10.9322,,59
American Black Duck,Anas rubripes,1976,228,1.7743,,128.5
American Black Duck,Anas rubripes,1977,474,3.8537,,123
