CommonName,Year,SciName,Count,CountPartyHour,Flags,PartyHours
American Black Duck,1969,Anas rubripes,500,50,,10
American Black Duck,1970,Anas rubripes,690,31.3636,,22
American Black Duck,1971,Anas rubripes,710,47.3333,,15
American Black Duck,1972,Anas rubripes,457,22.85,,20
American Black Duck,1973,Anas rubripes,104,4.7273,,22
American Black Duck,1974,Anas rubripes,225,12.5,,18
American Black Duck,1975,Anas rubripes,227,15.1333,,15
American Black Duck,1976,Anas rubripes,185,9.25,,20
American Black Duck,1977,Anas rubripes,58,2.9,,20
American Black Duck,1978,Anas rubripes,364,15.1667,,24
American Black Duck,1979,Anas rubripes,359,14.0784,,25.5
American Black Duck,1980,Anas rubripes,127,4.0968,,31
American Black Duck,1981,Anas rubripes,123,5.125,,24
American Black Duck,1982,Anas rubripes,491,15.9416,,30.8
American Black Duck,1983,Anas rubripes,145,3.1868,,45.5
American Black Duck,1984,Anas rubripes,50,2.2727,,22
American Black Duck,1985,Anas rubripes,287,13.6667,,21
American Black Duck,1986,Anas rubripes,157,4.1867,,37.5
American Black Duck,1987,Anas rubripes,41,1.8636,,22
American Black Duck,1988,Anas rubripes,261,7.4571,,35
American Black Duck,1989,Anas rubripes,276,8.625,,32
American Black Duck,1990,Anas rubripes,245,8.9091,,27.5
American Black Duck,1991,Anas rubripes,243,7.5938,,32
American Black Duck,1992,Anas rubripes,179,4.475,,40
American Black Duck,1993,Anas rubripes,486,13.5,,36
American Black Duck,1994,Anas rubripes,235,9.0385,,26
American Black Duck,1995,Anas rubripes,219,7.8214,,28
American Black Duck,1996,Anas rubripes,201,6.7,,30
American Black Duck,1997,Anas rubripes,105,3.8889,,27
American Black Duck,1998,Anas rubripes,63,2.25,,28
American Black Duck,1999,Anas rubripes,191,7.4902,,25.5
American Black Duck,2000,Anas rubripes,511,23.2273,,22
American Black Duck,2001,Anas rubripes,504,15.75,,32
American Black Duck,2002,Anas rubripes,102,2.6154,,39
American Black Duck,2003,Anas rubripes,130,2.6531,,49
American Black Duck,2004,Anas rubripes,39,1.4579,,26.75
American Black Duck,2005,Anas rubripes,113,4.52,,25
American Black Duck,2006,Anas rubripes,96,3.1475,,30.5
American Black Duck,2007,Anas rubripes,208,8.32,,25
American Black Duck,2008,Anas rubripes,362,10.9697,,33
American Black Duck,2009,Anas rubripes,202,7.0877,,28.5
American Black Duck,2010,Anas rubripes,65,1.7105,,38
American Black Duck,2011,Anas rubripes,71,1.6805,,42.25
American Black Duck,2012,Anas rubripes,89,2.5429,,35
American Black Duck,2013,Anas rubripes,213,5.4268,,39.25
American Black Duck,2014,Anas rubripes,112,2.5028,,44.75
American Black Duck,2015,Anas rubripes,96,1.9258,,49.85
American Black Duck,2016,Anas rubripes,80,8.9385,,8.95
American Black Duck,2017,Anas rubripes,213,5.227,,40.75
American Black Duck,2018,Anas rubripes,59,1.5325,,38.5
American Black Duck,2019,Anas rubripes,167,2.9221,,57.15
American Black Duck,2020,Anas rubripes,24,0.5339,,44.96
American Crow,1969,Corvus brachyrhynchos,87,8.7,,10
American Crow,1970,Corvus brachyrhynchos,93,4.2273,,22
American Crow,1971,Corvus brachyrhynchos,89,5.9333,,15
American Crow,1972,Corvus brachyrhynchos,67,3.35,,20
American Crow,1973,Corvus brachyrhynchos,64,2.9091,,22
American Crow,1974,Corvus brachyrhynchos,57,3.1667,,18
American Crow,1975,Corvus brachyrhynchos,61,4.0667,,15
American Crow,1976,Corvus brachyrhynchos,33,1.65,,20
American Crow,1977,Corvus brachyrhynchos,43,2.15,,20
American Crow,1978,Corvus brachyrhynchos,92,3.8333,,24
American Crow,1979,Corvus brachyrhynchos,142,5.5686,,25.5
American Crow,1980,Corvus brachyrhynchos,93,3,,31
American Crow,1981,Corvus brachyrhynchos,118,4.9167,,24
American Crow,1982,Corvus brachyrhynchos,129,4.1883,,30.8
American Crow,1983,Corvus brachyrhynchos,122,2.6813,,45.5
American Crow,1984,Corvus brachyrhynchos,60,2.7273,,22
American Crow,1985,Corvus brachyrhynchos,122,5.8095,,21
American Crow,1986,Corvus brachyrhynchos,95,2.5333,,37.5
American Crow,1987,Corvus brachyrhynchos,50,2.2727,,22
American Crow,1988,Corvus brachyrhynchos,57,1.6286,,35
American Crow,1989,Corvus brachyrhynchos,121,3.7813,,32
American Crow,1990,Corvus brachyrhynchos,87,3.1636,,27.5
American Crow,1991,Corvus brachyrhynchos,112,3.5,,32
American Crow,1992,Corvus brachyrhynchos,143,3.575,,40
American Crow,1993,Corvus brachyrhynchos,107,2.9722,,36
American Crow,1994,Corvus brachyrhynchos,121,4.6538,,26
American Crow,1995,Corvus brachyrhynchos,149,5.3214,,28
American Crow,1996,Corvus brachyrhynchos,84,2.8,,30
American Crow,1997,Corvus brachyrhynchos,52,1.9259,,27
American Crow,1998,Corvus brachyrhynchos,60,2.1429,,28
American Crow,1999,Corvus brachyrhynchos,102,4,,25.5
American Crow,2000,Corvus brachyrhynchos,118,5.3636,,22
American Crow,2001,Corvus brachyrhynchos,170,5.3125,"HC,",32
American Crow,2002,Corvus brachyrhynchos,199,5.1026,"HC,",39
American Crow,2003,Corvus brachyrhynchos,111,2.2653,,49
American Crow,2004,Corvus brachyrhynchos,48,1.7944,,26.75
American Crow,2005,Corvus brachyrhynchos,162,6.48,,25
American Crow,2006,Corvus brachyrhynchos,133,4.3607,,30.5
American Crow,2007,Corvus brachyrhynchos,71,2.84,,25
American Crow,2008,Corvus brachyrhynchos,151,4.5758,,33
American Crow,2009,Corvus brachyrhynchos,128,4.4912,,28.5
American Crow,2010,Corvus brachyrhynchos,119,3.1316,,38
American Crow,2011,Corvus brachyrhynchos,114,2.6982,,42.25
American Crow,2012,Corvus brachyrhynchos,96,2.7429,,35
American Crow,2013,Corvus brachyrhynchos,141,3.5924,,39.25
American Crow,2014,Corvus brachyrhynchos,189,4.2235,,44.75
American Crow,2015,Corvus brachyrhynchos,174,3.4905,,49.85
American Crow,2016,Corvus brachyrhynchos,123,13.743,,8.95
American Crow,2017,Corvus brachyrhynchos,72,1.7669,,40.75
American Crow,2018,Corvus brachyrhynchos,150,3.8961,,38.5
American Crow,2019,Corvus brachyrhynchos,214,3.7445,,57.15
American Crow,2020,Corvus brachyrhynchos,166,3.693,,44.96
American Goldfinch,1969,Spinus tristis,3,0.3,,10
American Goldfinch,1970,Spinus tristis,2,0.0909,,22
American Goldfinch,1971,Spinus tristis,19,1.2667,,15
American Goldfinch,1972,Spinus tristis,80,4,,20
American Goldfinch,1973,Spinus tristis,2,0.0909,,22
American Goldfinch,1974,Spinus tristis,2,0.1111,,18
American Goldfinch,1975,Spinus tristis,25,1.6667,,15
American Goldfinch,1976,Spinus tristis,140,7,,20
American Goldfinch,1977,Spinus tristis,5,0.25,,20
American Goldfinch,1978,Spinus tristis,62,2.5833,,24
American Goldfinch,1979,Spinus tristis,0,0,,25.5
American Goldfinch,1980,Spinus tristis,0,0,,31
American Goldfinch,1981,Spinus tristis,15,0.625,,24
American Goldfinch,1982,Spinus tristis,0,0,,30.8
American Goldfinch,1983,Spinus tristis,29,0.6374,,45.5
American Goldfinch,1984,Spinus tristis,24,1.0909,,22
American Goldfinch,1985,Spinus tristis,0,0,,21
American Goldfinch,1986,Spinus tristis,15,0.4,,37.5
American Goldfinch,1987,Spinus tristis,0,0,,22
American Goldfinch,1988,Spinus tristis,3,0.0857,,35
American Goldfinch,1989,Spinus tristis,1,0.0313,,32
American Goldfinch,1990,Spinus tristis,4,0.1455,,27.5
American Goldfinch,1991,Spinus tristis,0,0,,32
American Goldfinch,1992,Spinus tristis,263,6.575,,40
American Goldfinch,1993,Spinus tristis,13,0.3611,,36
American Goldfinch,1994,Spinus tristis,84,3.2308,,26
American Goldfinch,1995,Spinus tristis,12,0.4286,,28
American Goldfinch,1996,Spinus tristis,117,3.9,,30
American Goldfinch,1997,Spinus tristis,0,0,,27
American Goldfinch,1998,Spinus tristis,170,6.0714,,28
American Goldfinch,1999,Spinus tristis,11,0.4314,,25.5
American Goldfinch,2000,Spinus tristis,71,3.2273,,22
American Goldfinch,2001,Spinus tristis,7,0.2188,,32
American Goldfinch,2002,Spinus tristis,23,0.5897,,39
American Goldfinch,2003,Spinus tristis,0,0,,49
American Goldfinch,2004,Spinus tristis,42,1.5701,,26.75
American Goldfinch,2005,Spinus tristis,27,1.08,,25
American Goldfinch,2006,Spinus tristis,35,1.1475,,30.5
American Goldfinch,2007,Spinus tristis,9,0.36,"LC,",25
American Goldfinch,2008,Spinus tristis,93,2.8182,,33
American Goldfinch,2009,Spinus tristis,199,6.9825,,28.5
American Goldfinch,2010,Spinus tristis,26,0.6842,,38
American Goldfinch,2011,Spinus tristis,73,1.7278,,42.25
American Goldfinch,2012,Spinus tristis,8,0.2286,,35
American Goldfinch,2013,Spinus tristis,125,3.1847,,39.25
American Goldfinch,2014,Spinus tristis,22,0.4916,,44.75
American Goldfinch,2015,Spinus tristis,69,1.3842,,49.85
American Goldfinch,2016,Spinus tristis,58,6.4804,,8.95
American Goldfinch,2017,Spinus tristis,87,2.135,,40.75
American Goldfinch,2018,Spinus tristis,22,0.5714,,38.5
American Goldfinch,2019,Spinus tristis,137,2.3972,,57.15
American Goldfinch,2020,Spinus tristis,33,0.7341,,44.96
American Kestrel,1969,Falco sparverius,1,0.1,,10
American Kestrel,1970,Falco sparverius,0,0,,22
American Kestrel,1971,Falco sparverius,0,0,,15
American Kestrel,1972,Falco sparverius,0,0,,20
American Kestrel,1973,Falco sparverius,0,0,,22
American Kestrel,1974,Falco sparverius,0,0,,18
American Kestrel,1975,Falco sparverius,0,0,,15
American Kestrel,1976,Falco sparverius,0,0,,20
American Kestrel,1977,Falco sparverius,0,0,,20
American Kestrel,1978,Falco sparverius,0,0,,24
American Kestrel,1979,Falco sparverius,0,0,,25.5
American Kestrel,1980,Falco sparverius,1,0.0323,,31
American Kestrel,1981,Falco sparverius,0,0,,24
American Kestrel,1982,Falco sparverius,0,0,,30.8
American Kestrel,1983,Falco sparverius,0,0,,45.5
American Kestrel,1984,Falco sparverius,0,0,,22
American Kestrel,1985,Falco sparverius,0,0,,21
American Kestrel,1986,Falco sparverius,0,0,,37.5
American Kestrel,1987,Falco sparverius,0,0,,22
American Kestrel,1988,Falco sparverius,0,0,,35
American Kestrel,1989,Falco sparverius,0,0,,32
American Kestrel,1990,Falco sparverius,0,0,,27.5
American Kestrel,1991,Falco sparverius,0,0,,32
American Kestrel,1992,Falco sparverius,0,0,,40
American Kestrel,1993,Falco sparverius,0,0,,36
American Kestrel,1994,Falco sparverius,0,0,,26
American Kestrel,1995,Falco sparverius,0,0,,28
American Kestrel,1996,Falco sparverius,0,0,,30
American Kestrel,1997,Falco sparverius,0,0,,27
American Kestrel,1998,Falco sparverius,0,0,,28
American Kestrel,1999,Falco sparverius,0,0,,25.5
American Kestrel,2000,Falco sparverius,0,0,,22
American Kestrel,2001,Falco sparverius,0,0,,32
American Kestrel,2002,Falco sparverius,0,0,,39
American Kestrel,2003,Falco sparverius,0,0,,49
American Kestrel,2004,Falco sparverius,0,0,,26.75
American Kestrel,2005,Falco sparverius,0,0,,25
American Kestrel,2006,Falco sparverius,0,0,,30.5
American Kestrel,2007,Falco sparverius,0,0,,25
American Kestrel,2008,Falco sparverius,0,0,,33
American Kestrel,2009,Falco sparverius,0,0,,28.5
American Kestrel,2010,Falco sparverius,0,0,,38
American Kestrel,2011,Falco sparverius,0,0,,42.25
American Kestrel,2012,Falco sparverius,0,0,,35
American Kestrel,2013,Falco sparverius,0,0,,39.25
American Kestrel,2014,Falco sparverius,0,0,,44.75
American Kestrel,2015,Falco sparverius,0,0,,49.85
American Kestrel,2016,Falco sparverius,0,0,,8.95
American Kestrel,2017,Falco sparverius,0,0,,40.75
American Kestrel,2018,Falco sparverius,0,0,,38.5
American Kestrel,2019,Falco sparverius,0,0,,57.15
American Kestrel,2020,Falco sparverius,0,0,,44.96
American Robin,1969,Turdus migratorius,4,0.4,,10
American Robin,1970,Turdus migratorius,0,0,,22
American Robin,1971,Turdus migratorius,46,3.0667,,15
American Robin,1972,Turdus migratorius,0,0,,20
American Robin,1973,Turdus migratorius,38,1.7273,,22
American Robin,1974,Turdus migratorius,6,0.3333,,18
American Robin,1975,Turdus migratorius,3,0.2,,15
American Robin,1976,Turdus migratorius,14,0.7,,20
American Robin,1977,Turdus migratorius,0,0,,20
American Robin,1978,Turdus migratorius,1,0.0417,,24
American Robin,1979,Turdus migratorius,3,0.1176,,25.5
American Robin,1980,Turdus migratorius,0,0,,31
American Robin,1981,Turdus migratorius,3,0.125,,24
American Robin,1982,Turdus migratorius,0,0,,30.8
American Robin,1983,Turdus migratorius,2,0.044,,45.5
American Robin,1984,Turdus migratorius,0,0,,22
American Robin,1985,Turdus migratorius,5,0.2381,,21
American Robin,1986,Turdus migratorius,1,0.0267,,37.5
American Robin,1987,Turdus migratorius,1,0.0455,,22
American Robin,1988,Turdus migratorius,2,0.0571,,35
American Robin,1989,Turdus migratorius,0,0,,32
American Robin,1990,Turdus migratorius,0,0,,27.5
American Robin,1991,Turdus migratorius,0,0,,32
American Robin,1992,Turdus migratorius,2,0.05,,40
American Robin,1993,Turdus migratorius,5,0.1389,,36
American Robin,1994,Turdus migratorius,28,1.0769,,26
American Robin,1995,Turdus migratorius,0,0,,28
American Robin,1996,Turdus migratorius,0,0,,30
American Robin,1997,Turdus migratorius,0,0,,27
American Robin,1998,Turdus migratorius,10,0.3571,,28
American Robin,1999,Turdus migratorius,2,0.0784,,25.5
American Robin,2000,Turdus migratorius,64,2.9091,"HC,",22
American Robin,2001,Turdus migratorius,7,0.2188,,32
American Robin,2002,Turdus migratorius,26,0.6667,,39
American Robin,2003,Turdus migratorius,1,0.0204,,49
American Robin,2004,Turdus migratorius,0,0,,26.75
American Robin,2005,Turdus migratorius,4,0.16,,25
American Robin,2006,Turdus migratorius,0,0,,30.5
American Robin,2007,Turdus migratorius,3,0.12,,25
American Robin,2008,Turdus migratorius,5,0.1515,,33
American Robin,2009,Turdus migratorius,6,0.2105,,28.5
American Robin,2010,Turdus migratorius,3,0.0789,,38
American Robin,2011,Turdus migratorius,0,0,,42.25
American Robin,2012,Turdus migratorius,2,0.0571,,35
American Robin,2013,Turdus migratorius,1,0.0255,,39.25
American Robin,2014,Turdus migratorius,2,0.0447,,44.75
American Robin,2015,Turdus migratorius,0,0,,49.85
