date,temp
197112,13.5
197212,12.4
197312,23.1
197412,19.2
197512,11.7
197612,7.5
197712,16.2
197812,14.6
197912,19.7
198012,6.1
198112,22.1
198212,20.5
198312,15.5
198412,19.4
198512,8.7
198612,15.4
198712,18.6
198812,12.7
198912,-0.8
199012,20.9
199112,12.2
199212,18.5
199312,19.1
199412,19.6
199512,13.4
199612,25.2
199712,17.1
199812,21.4
199912,21.3
200012,14.5
200112,23.5
200212,16.9
200312,19.7
200412,15.8
200512,17.2
200612,23.4
200712,13.7
200812,16
200912,18.6
201012,19.8
201112,20.9
201212,20.9
201312,13.6
201412,24.6
201512,27.6
201612,15.4
201712,12
201812,16.2
201912,19.4
202012,24.6
202112,20.9
