date,precip
197101,2.7
197102,5.84
197103,3.51
197104,2.01
197105,3.93
197106,1.92
197107,3.75
197108,2.9
197109,3.32
197110,3.18
197111,4.12
197112,2.99
197201,2.98
197202,4.58
197203,8.55
197204,2.79
197205,3.61
197206,6.74
197207,2.73
197208,1.95
197209,6.37
197210,4.42
197211,6.13
197212,6.23
197301,4.06
197302,4.27
197303,3.93
197304,7.29
197305,5.42
197306,4.32
197307,4.61
197308,5.01
197309,4.32
197310,3.92
197311,3.71
197312,8.35
197401,3.07
197402,3.36
197403,3.81
197404,5.04
197405,4.67
197406,3.8
197407,4.16
197408,2.3
197409,5.88
197410,1.48
197411,4.4
197412,2.58
197501,4.26
197502,1.82
197503,4.12
197504,2.68
197505,2.07
197506,5.12
197507,3.06
197508,2.01
197509,4.74
197510,4.83
197511,6.92
197512,7.2
197601,6.23
197602,4.44
197603,2.52
197604,4.88
197605,4.4
197606,2.99
197607,6.81
197608,3.56
197609,2.06
197610,5.56
197611,2.27
197612,4.87
197701,3.53
197702,3.16
197703,5.67
197704,2.79
197705,1.76
197706,7.45
197707,3.18
197708,3.65
197709,6.9
197710,7.44
197711,3.2
197712,7.67
197801,8.07
197802,1.55
197803,3.09
197804,3.59
197805,2.78
197806,4.35
197807,1.37
197808,1.23
197809,1.85
197810,5.17
197811,1.89
197812,3.02
197901,10.54
197902,3.06
197903,6.21
197904,5.39
197905,7.71
197906,1.26
197907,3.23
197908,5.21
197909,3.07
197910,6.57
197911,5.39
197912,3.29
198001,1.2
198002,1.14
198003,5.62
198004,5.23
198005,1.41
198006,2.3
198007,5.06
198008,1.91
198009,5.21
198010,5
198011,5.46
198012,2.29
198101,1.99
198102,3.34
198103,1.45
198104,4.53
198105,3
198106,4.14
198107,5.86
198108,4.43
198109,6.66
198110,5.76
198111,3.6
198112,6.39
198201,5.32
198202,3.33
198203,2.78
198204,5.31
198205,0.88
198206,4.72
198207,3.29
198208,3.66
198209,3.03
198210,1.42
198211,5.2
198212,2.19
198301,3.61
198302,3.11
198303,6.38
198304,9.08
198305,6.4
198306,1.32
198307,5.62
198308,3.59
198309,2.39
198310,3
198311,11.53
198312,7.94
198401,2.87
198402,6.47
198403,7.16
198404,3
198405,5.99
198406,6.74
198407,3.98
198408,1.64
198409,2.03
198410,2.31
198411,2.29
198412,4.06
198501,0.86
198502,2.79
198503,3.48
198504,1.28
198505,3.85
198506,4.42
198507,1.88
198508,6.1
198509,2.88
198510,2.99
198511,5.18
198512,2.82
198601,5.81
198602,1.77
198603,5
198604,3.78
198605,3.27
198606,2.56
198607,7.2
198608,5.34
198609,3.07
198610,1.58
198611,4.74
198612,3.68
198701,4.56
198702,1.04
198703,3.57
198704,3.47
198705,2.64
198706,3.88
198707,1.99
198708,2.12
198709,7.16
198710,3.44
198711,2.78
198712,3.99
198801,2.75
198802,4.27
198803,2.05
198804,3.2
198805,2.48
198806,1.97
198807,4.39
198808,4.7
198809,2.02
198810,4.69
198811,8.27
198812,1.55
198901,2.02
198902,2.89
198903,3.06
198904,3.8
198905,8.67
198906,4.58
198907,2.09
198908,4.14
198909,4.32
198910,4.11
198911,6.4
198912,2.59
199001,4.64
199002,2.35
199003,2.14
199004,4.72
199005,7.21
199006,4.57
199007,3.58
199008,4.1
199009,3.47
199010,5.96
199011,4.28
199012,6.51
199101,3.51
199102,1.16
199103,5.63
199104,3.63
199105,3.52
199106,1.94
199107,2.92
199108,7.52
199109,5.73
199110,4.56
199111,3.61
199112,2.9
199201,6.01
199202,3.89
199203,2.77
199204,2.47
199205,0.86
199206,4.09
199207,3.29
199208,3.49
199209,2.11
199210,3.57
199211,3.68
199212,2.28
199301,3.03
199302,4.02
199303,4.02
199304,6.51
199305,1.64
199306,4.34
199307,1.91
199308,0.9
199309,4.33
199310,4.64
199311,5.25
199312,7.3
199401,5.66
199402,0.92
199403,5.73
199404,3.7
199405,4.7
199406,3.37
199407,2.01
199408,2.51
199409,5.22
199410,3.29
199411,4.93
