date,temp
197101,11.2
197102,19.7
197103,29.4
197104,40
197105,53
197106,61.7
197107,66.9
197108,66
197109,59.9
197110,51
197111,33.8
197112,22.7
197201,19.9
197202,18.3
197203,25.7
197204,37.7
197205,53
197206,60
197207,66.4
197208,64.8
197209,58.3
197210,44
197211,33.4
197212,20.7
197301,20.8
197302,20.3
197303,34.5
197304,42.6
197305,49.5
197306,62.6
197307,68.9
197308,68.3
197309,56.6
197310,46.9
197311,35.4
197312,31.6
197401,19.5
197402,19.3
197403,30
197404,41.8
197405,48.2
197406,61.1
197407,65.8
197408,67
197409,56.2
197410,42.2
197411,36
197412,27.1
197501,21.5
197502,19.3
197503,28.9
197504,38.7
197505,54.8
197506,61.9
197507,68.9
197508,66.1
197509,56
197510,47.9
197511,39.9
197512,21.8
197601,15.3
197602,24.7
197603,30.3
197604,43.4
197605,52.5
197606,65.1
197607,65.9
197608,65.2
197609,57
197610,44.8
197611,33.5
197612,17.9
197701,13.3
197702,19.7
197703,35.6
197704,41
197705,54.4
197706,58.9
197707,67
197708,64.5
197709,55.2
197710,47.4
197711,38.7
197712,23.8
197801,17.8
197802,17
197803,27.7
197804,39.9
197805,54.6
197806,61
197807,67.5
197808,66.8
197809,54.3
197810,45.6
197811,33.7
197812,23.8
197901,22.4
197902,16.1
197903,35.5
197904,42
197905,53.9
197906,62
197907,68.5
197908,64.1
197909,57.2
197910,46.9
197911,41.2
197912,27.5
198001,21.2
198002,18.9
198003,29.4
198004,43.2
198005,53.4
198006,60.5
198007,67.7
198008,67.6
198009,55.7
198010,44.2
198011,34.5
198012,17.3
198101,11.5
198102,29.4
198103,33.4
198104,43.5
198105,54.6
198106,62.1
198107,67.6
198108,65.4
198109,56.2
198110,45.2
198111,36.8
198112,28.2
198201,11.1
198202,18.8
198203,29.8
198204,39.6
198205,53.2
198206,59.2
198207,67.9
198208,62.6
198209,58.2
198210,47.6
198211,39.5
198212,29.4
198301,22
198302,23.6
198303,33.5
198304,43.1
198305,50.8
198306,63.2
198307,67.9
198308,67
198309,61.2
198310,47.8
198311,38.4
198312,24.3
198401,16.4
198402,29.4
198403,25.1
198404,42.1
198405,51.9
198406,61.2
198407,67.9
198408,67.9
198409,56.2
198410,48.2
198411,38.2
198412,27.8
198501,13.4
198502,24.2
198503,30.7
198504,41.5
198505,52
198506,59.2
198507,67.4
198508,64.4
198509,58.4
198510,48
198511,36
198512,19.6
198601,21.7
198602,19.6
198603,30.4
198604,45.1
198605,52.4
198606,59.4
198607,64.4
198608,63.3
198609,54.9
198610,46
198611,33.4
198612,24.8
198701,17.5
198702,19
198703,31
198704,44.4
198705,53.6
198706,61.7
198707,65.8
198708,64.4
198709,57
198710,47.1
198711,34.7
198712,25.8
198801,18.4
198802,22.2
198803,30.2
198804,41.6
198805,54.5
198806,62.1
198807,68.8
198808,67.8
198809,56.7
198810,44.3
198811,39
198812,22.4
198901,22.8
198902,19.6
198903,27.3
198904,38.9
198905,55.2
198906,62.3
198907,66.5
198908,64.2
198909,57.2
198910,47.6
198911,34.6
198912,9.7
199001,26.4
199002,20.6
199003,30.9
199004,42.4
199005,50.6
199006,61.4
199007,68.2
199008,68.2
199009,56.8
199010,49.5
199011,38
199012,30.1
199101,18
199102,24.9
199103,33.3
199104,43.4
199105,56.2
199106,63.3
199107,67.6
199108,67.6
199109,56
199110,48.6
199111,38.1
199112,21.6
199201,18.9
199202,20.6
199203,26.9
199204,38.8
199205,52.3
199206,61.9
199207,63.4
199208,64.9
199209,57.3
199210,44.3
199211,33.9
199212,26
199301,19
199302,12.5
199303,28.3
