"CommonName","Year","Count","CountPartyHour","PartyHours"
"American Black Duck",1971,1310,17.7027027027027,74
"American Black Duck",1972,1172,10.9532710280374,107
"American Black Duck",1973,1636,18.1777777777778,90
"American Black Duck",1974,1317,13.3030303030303,99
"American Black Duck",1975,872,11.7837837837838,74
"American Black Duck",1976,413,2.78114478114478,148.5
"American Black Duck",1977,532,3.72027972027972,143
"American Black Duck",1978,823,5.63698630136986,146
"American Black Duck",1979,1870,12.7645051194539,146.5
"American Black Duck",1980,653,4.41216216216216,148
"American Black Duck",1981,613,3.81931464174455,160.5
"American Black Duck",1982,710,5.73505654281099,123.8
"American Black Duck",1983,905,6.21993127147766,145.5
"American Black Duck",1984,250,3.04878048780488,82
"American Black Duck",1985,735,10.0684931506849,73
"American Black Duck",1986,401,3.76525821596244,106.5
"American Black Duck",1987,313,4.28767123287671,73
"American Black Duck",1988,672,7.2258064516129,93
"American Black Duck",1989,559,9.31666666666667,60
"American Black Duck",1990,760,9.26829268292683,82
"American Black Duck",1991,617,6.56382978723404,94
"American Black Duck",1992,727,7.27,100
"American Black Duck",1993,1036,11.5111111111111,90
"American Black Duck",1994,1121,17.2461538461538,65
"American Black Duck",1995,1204,16.9577464788732,71
"American Black Duck",1996,1448,13.5011655011655,107.25
"American Black Duck",1997,987,9.77227722772277,101
"American Black Duck",1998,1568,19.4179566563467,80.75
"American Black Duck",1999,638,10.331983805668,61.75
"American Black Duck",2000,1270,22.0869565217391,57.5
"American Black Duck",2001,504,15.75,32
"American Black Duck",2002,799,9.59183673469388,83.3
"American Black Duck",2003,474,5.02917771883289,94.25
"American Black Duck",2004,389,6.70689655172414,58
"American Black Duck",2005,615,12.1782178217822,50.5
"American Black Duck",2006,427,4.13559322033898,103.25
"American Black Duck",2007,642,8.94773519163763,71.75
"American Black Duck",2008,792,13.2,60
"American Black Duck",2009,796,11.1719298245614,71.25
"American Black Duck",2010,385,4.17344173441734,92.25
"American Black Duck",2011,353,3.84322264561786,91.85
"American Black Duck",2012,325,3.65168539325843,89
"American Black Duck",2013,500,5.85823081429408,85.35
"American Black Duck",2014,631,6.00952380952381,105
"American Black Duck",2015,640,5.64622849580944,113.35
"American Black Duck",2016,285,5.09383378016086,55.95
"American Black Duck",2017,521,6.41309699655342,81.24
"American Black Duck",2018,435,5.65669700910273,76.9
