"CommonName","Freq","TotalBirds","TotBirdsPH","MinYear","MaxYear"
"American Black Duck",50,27062,481.1527,1971,2021
"American Crow",50,17377,329.7416,1971,2021
"American Goldfinch",50,4244,74.2783,1971,2021
"American Kestrel",2,2,0.027,1976,1985
"American Pipit",1,1,0.0247,2017,2017
"American Robin",48,868,14.9172,1971,2021
"American Tree Sparrow",49,1768,26.544,1971,2021
"American Wigeon",7,17,0.2998,2011,2021
"Bald Eagle",49,434,8.3311,1971,2021
"Baltimore Oriole",9,11,0.2175,1971,2014
"Barred Owl",9,10,0.1932,1973,2018
"Barrow's Goldeneye",19,82,1.1607,1972,2018
"Belted Kingfisher",23,35,0.5354,1971,2021
"Black Guillemot",50,2094,37.2687,1971,2021
"Black Scoter",35,1482,23.0567,1971,2021
"Black-and-white Warbler",1,1,0.0247,2017,2017
"Black-backed Woodpecker",6,10,0.1772,1974,2009
"Black-capped Chickadee",50,16728,264.1573,1971,2021
"Black-headed Gull",1,1,0.0147,1973,1973
"Black-legged Kittiwake",11,61,0.8956,1971,2020
"Blue Jay",50,5901,88.494,1971,2021
"Bohemian Waxwing",16,499,9.2708,1975,2011
"Bonaparte's Gull",23,156,2.9922,1971,2019
"Boreal Chickadee",11,59,0.6288,1972,1987
"Brant",1,5,0.0575,1972,1972
"Broad-winged Hawk",1,1,0.0226,2002,2002
"Brown Creeper",44,284,4.5296,1971,2021
"Brown Thrasher",6,9,0.1031,1971,1987
"Brown-headed Cowbird",20,1163,16.4689,1971,1994
"Bufflehead",50,17232,311.6535,1971,2021
"Canada Goose",39,2859,52.292,1971,2021
"Carolina Wren",2,2,0.0268,1979,1993
"Cedar Waxwing",14,424,10.0924,1984,2021
"Chipping Sparrow",9,15,0.2489,1972,2012
"Common Eider",50,142650,2574.0372,1971,2021
"Common Goldeneye",49,10861,177.0911,1971,2021
"Common Grackle",26,328,5.1393,1971,2021
"Common Loon",50,3181,59.7391,1971,2021
"Common Merganser",40,423,7.2521,1971,2021
"Common Raven",50,1547,21.847,1971,2021
"Common Redpoll",24,1347,18.1291,1971,2020
"Common Yellowthroat",1,1,0.0147,1973,1973
"Cooper's Hawk",8,10,0.1811,2002,2020
"Dark-eyed Junco",49,2656,54.2276,1971,2021
"Dickcissel",3,3,0.034,1972,1976
"Double-crested Cormorant",9,117,2.0772,1982,2020
"Dovekie",8,15,0.1955,1972,2012
"Downy Woodpecker",50,1249,20.1187,1971,2021
"Dunlin",1,1,0.0083,1979,1979
"Eastern Meadowlark",1,1,0.0169,1975,1975
"Eastern Phoebe",1,1,0.0139,2021,2021
"Eastern Towhee",6,7,0.095,1971,1987
"Eurasian Wigeon",2,2,0.023,1981,2015
"European Starling",48,6433,112.8207,1971,2021
"Evening Grosbeak",28,4189,52.1592,1971,2020
"Field Sparrow",3,4,0.0475,1974,1987
"Fox Sparrow",17,138,1.4411,1971,2018
"Gadwall",1,1,0.0166,2014,2014
"Glaucous Gull",9,9,0.1553,1972,2019
"Golden-crowned Kinglet",50,1567,27.9515,1971,2021
"Gray Catbird",4,5,0.1132,1979,2005
"Gray Jay",14,28,0.4251,1971,2013
"Great Black-backed Gull",50,4229,70.267,1971,2021
"Great Blue Heron",8,13,0.2101,1973,2012
"Great Cormorant",49,885,14.2817,1971,2021
"Great Horned Owl",7,9,0.1391,1975,2011
"Greater Scaup",35,8834,149.8794,1971,2017
"Green-tailed Towhee",1,1,0.0172,1988,1988
"Green-winged Teal",6,7,0.1449,1972,2021
"Hairy Woodpecker",50,887,14.3527,1971,2021
"Harlequin Duck",2,3,0.0332,1981,1996
"Hermit Thrush",6,10,0.1425,1971,2020
"Herring Gull",50,70445,1198.6344,1971,2021
"Hooded Merganser",20,255,4.7851,1974,2021
"Horned Grebe",50,4090,69.8853,1971,2021
"Horned Lark",3,8,0.066,1977,1980
"House Finch",31,431,8.9122,1984,2021
"House Sparrow",39,1495,24.3956,1971,2012
"Iceland Gull",7,13,0.2128,1972,2014
"Killdeer",6,14,0.2657,1972,2002
"King Eider",10,29,0.3952,1972,2017
"Lesser Scaup",2,4,0.0681,1972,2002
"Long-tailed Duck",50,22902,372.6261,1971,2021
"Mallard",49,12472,264.9293,1971,2021
"Mourning Dove",50,11138,180.5632,1971,2021
"Northern Bobwhite",1,4,0.0856,2007,2007
"Northern Cardinal",46,366,7.0651,1971,2021
"Northern Flicker",5,6,0.1056,1976,2020
"Northern Gannet",5,13,0.3133,1993,2007
"Northern Goshawk",12,13,0.2457,1972,2010
"Northern Harrier",6,7,0.1111,1977,2021
"Northern Mockingbird",14,32,0.4114,1972,1998
"Northern Pintail",10,12,0.2004,1972,2019
"Northern Saw-whet Owl",1,1,0.0167,1992,1992
"Northern Shrike",27,50,0.8382,1971,2019
"Pacific Loon",2,2,0.0534,2004,2007
"Peregrine Falcon",6,9,0.1872,1992,2011
"Pied-billed Grebe",8,13,0.1733,1972,2002
"Pileated Woodpecker",41,130,2.5732,1974,2021
"Pine Grosbeak",17,671,10.7431,1971,2012
"Pine Siskin",38,943,15.5083,1971,2020
"Pine Warbler",4,6,0.0927,1982,2012
"Purple Finch",42,338,6.5456,1971,2021
"Purple Sandpiper",36,3862,48.501,1971,2021
"Razorbill",3,65,0.9303,1997,2021
"Red Crossbill",11,168,2.404,1972,2021
"Red-bellied Woodpecker",7,13,0.2568,1990,2020
"Red-breasted Merganser",50,4345,77.4546,1971,2021
"Red-breasted Nuthatch",50,2320,40.2676,1971,2021
"Red-headed Woodpecker",3,3,0.0576,1973,2018
"Red-necked Grebe",50,3447,65.7985,1971,2021
"Red-tailed Hawk",30,40,0.705,1972,2021
"Red-throated Loon",21,36,0.6432,1972,2020
"Red-winged Blackbird",24,117,1.7745,1971,2020
"Redhead",1,15,0.2542,1971,1971
"Ring-billed Gull",47,3043,61.7983,1971,2021
"Ring-necked duck",1,1,0.0144,2020,2020
"Ring-necked Pheasant",12,47,0.6622,1971,1990
"Rock Pigeon",48,4137,82.6998,1973,2021
"Rough-legged Hawk",12,13,0.1812,1977,2016
