"Year","NoSpecies","Birds","BirdsPartyHour","PartyHours"
1971,69,12521,212.2197,59
1972,82,11855,136.2647,87
1973,69,9481,139.4262,68
1974,65,16164,199.5554,81
1975,68,12865,218.0504,59
1976,74,9222,71.7666,128.5
1977,67,12610,102.5207,123
1978,61,12764,104.6231,122
1979,69,16995,140.4547,121
1980,72,11399,97.4268,117
1981,71,16726,122.5348,136.5
1982,70,9761,104.958,93
1983,72,10896,108.96,100
1984,64,7937,132.2833,60
1985,73,8591,165.2113,52
1986,62,8420,122.029,69
1987,67,8072,158.274,51
1988,60,11768,202.8961,58
1989,57,4802,171.4996,28
1990,64,7825,143.5772,54.5
1991,57,7513,121.1772,62
1992,53,11850,197.5002,60
1993,66,11374,210.6292,54
1994,62,12306,315.5378,39
1995,61,6726,156.4191,43
1996,56,12866,166.5499,77.25
1997,64,12029,162.554,74
1998,53,12885,244.2653,52.75
1999,51,12574,346.8689,36.25
2000,53,12002,338.0849,35.5
2002,64,7976,180.045,44.3
2003,59,7856,173.6136,45.25
2004,55,7186,229.952,31.25
2005,56,8296,325.3334,25.5
2006,62,9629,132.3569,72.75
2007,62,7388,158.0325,46.75
2008,53,7184,266.0737,27
2009,56,7316,171.1345,42.75
2010,59,7500,138.2486,54.25
2011,63,8617,173.5485,49.6
2012,64,6475,119.9075,54
2013,50,4931,106.9632,46.1
2014,62,7012,116.3823,60.25
2015,56,6918,108.9442,63.5
2016,54,4763,101.3408,47
2017,57,4356,107.5824,40.49
2018,56,5856,152.5001,38.4
2019,50,2122,66.7718,31.78
2020,68,6349,91.5499,69.35
2021,62,6132,85.3556,71.9
