"Common name","Scientific name","Order","Family","Resident status"
"American Black Duck","Anas rubripes","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Resident"
"American Crow","Corvus brachyrhynchos","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Resident"
"American Goldfinch","Spinus tristis","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Resident"
"American Kestrel","Falco sparverius","Falconiformes","Falconidae (Falcons and Caracaras)","Non-resident"
"American Pipit","Anthus rubescens","Passeriformes","Motacillidae (Wagtails and Pipits)","Non-resident"
"American Robin","Turdus migratorius","Passeriformes","Turdidae (Thrushes and Allies)","Resident"
"American Three-toed Woodpecker","Picoides dorsalis","Piciformes","Picidae (Woodpeckers)","Non-resident"
"American Tree Sparrow","Spizelloides arborea","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"American Wigeon","Mareca americana","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Atlantic Puffin","Fratercula arctica","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Non-resident"
"Bald Eagle","Haliaeetus leucocephalus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Resident"
"Baltimore Oriole","Icterus galbula","Passeriformes","Icteridae (Troupials and Allies)","Non-resident"
"Barred Owl","Strix varia","Strigiformes","Strigidae (Owls)","Resident"
"Barrow's Goldeneye","Bucephala islandica","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Belted Kingfisher","Megaceryle alcyon","Coraciiformes","Alcedinidae (Kingfishers)","Resident"
"Black Guillemot","Cepphus grylle","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Resident"
"Black Scoter","Melanitta americana","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Black-and-white Warbler","Mniotilta varia","Passeriformes","Parulidae (New World Warblers)","Non-resident"
"Black-backed Woodpecker","Picoides arcticus","Piciformes","Picidae (Woodpeckers)","Non-resident"
"Black-bellied Plover","Pluvialis squatarola","Charadriiformes","Charadriidae (Plovers and Lapwings)","Non-resident"
"Black-capped Chickadee","Poecile atricapillus","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Resident"
"Black-headed Gull","Chroicocephalus ridibundus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Non-resident"
"Black-legged Kittiwake","Rissa tridactyla","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Non-resident"
"Black-throated Sparrow","Amphispiza bilineata","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"Blue Jay","Cyanocitta cristata","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Resident"
"Bohemian Waxwing","Bombycilla garrulus","Passeriformes","Bombycillidae (Waxwings)","Non-resident"
"Bonaparte's Gull","Chroicocephalus philadelphia","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Non-resident"
"Boreal Chickadee","Poecile hudsonicus","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Non-resident"
"Brant","Branta bernicla","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Broad-winged Hawk","Buteo platypterus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Non-resident"
"Brown Creeper","Certhia americana","Passeriformes","Certhiidae (Treecreepers)","Resident"
"Brown Thrasher","Toxostoma rufum","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Non-resident"
"Brown-headed Cowbird","Molothrus ater","Passeriformes","Icteridae (Troupials and Allies)","Non-resident"
"Bufflehead","Bucephala albeola","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Canada Goose","Branta canadensis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Resident"
"Canada Jay","Perisoreus canadensis","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Non-resident"
"Carolina Wren","Thryothorus ludovicianus","Passeriformes","Troglodytidae (Wrens)","Non-resident"
"Cedar Waxwing","Bombycilla cedrorum","Passeriformes","Bombycillidae (Waxwings)","Resident"
"Chipping Sparrow","Spizella passerina","Passeriformes","Passerellidae (New World Sparrows)","Resident"
"Common Eider","Somateria mollissima","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Resident"
"Common Goldeneye","Bucephala clangula","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Common Grackle","Quiscalus quiscula","Passeriformes","Icteridae (Troupials and Allies)","Resident"
"Common Loon","Gavia immer","Gaviiformes","Gaviidae (Loons)","Resident"
"Common Merganser","Mergus merganser","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Resident"
"Common Raven","Corvus corax","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Resident"
"Common Redpoll","Acanthis flammea","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Non-resident"
"Common Yellowthroat","Geothlypis trichas","Passeriformes","Parulidae (New World Warblers)","Non-resident"
"Cooper's Hawk","Accipiter cooperii","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Resident"
"Dark-eyed Junco","Junco hyemalis","Passeriformes","Passerellidae (New World Sparrows)","Resident"
"Dickcissel","Spiza americana","Passeriformes","Cardinalidae (Cardinals and Allies)","Non-resident"
"Double-crested Cormorant","Nannopterum auritum","Suliformes","Phalacrocoracidae (Cormorants and Shags)","Non-resident"
"Dovekie","Alle alle","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Non-resident"
"Downy Woodpecker","Dryobates pubescens","Piciformes","Picidae (Woodpeckers)","Resident"
"Dunlin","Calidris alpina","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Non-resident"
"Eastern Bluebird","Sialia sialis","Passeriformes","Turdidae (Thrushes and Allies)","Non-resident"
"Eastern Meadowlark","Sturnella magna","Passeriformes","Icteridae (Troupials and Allies)","Non-resident"
"Eastern Phoebe","Sayornis phoebe","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Non-resident"
"Eastern Towhee","Pipilo erythrophthalmus","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"Eurasian Wigeon","Mareca penelope","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"European Starling","Sturnus vulgaris","Passeriformes","Sturnidae (Starlings)","Resident"
"Evening Grosbeak","Coccothraustes vespertinus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Non-resident"
"Field Sparrow","Spizella pusilla","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"Fox Sparrow","Passerella iliaca","Passeriformes","Passerellidae (New World Sparrows)","Non-resident"
"Gadwall","Mareca strepera","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Non-resident"
"Glaucous Gull","Larus hyperboreus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Non-resident"
"Golden-crowned Kinglet","Regulus satrapa","Passeriformes","Regulidae (Kinglets)","Resident"
"Gray Catbird","Dumetella carolinensis","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Non-resident"
"Great Black-backed Gull","Larus marinus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Resident"
"Great Blue Heron","Ardea herodias","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Non-resident"
"Great Cormorant","Phalacrocorax carbo","Suliformes","Phalacrocoracidae (Cormorants and Shags)","Non-resident"
"Great Horned Owl","Bubo virginianus","Strigiformes","Strigidae (Owls)","Resident"
