"","Common name","Scientific name","Order","Family"
"1","American Tree Sparrow","Spizelloides arborea","Passeriformes","Passerellidae (New World Sparrows)"
"2","Baltimore Oriole","Icterus galbula","Passeriformes","Icteridae (Troupials and Allies)"
"3","Barrow's Goldeneye","Bucephala islandica","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"4","Black-capped Chickadee","Poecile atricapillus","Passeriformes","Paridae (Tits, Chickadees, and Titmice)"
"5","Black-headed Gull","Chroicocephalus ridibundus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)"
"6","Blue Jay","Cyanocitta cristata","Passeriformes","Corvidae (Crows, Jays, and Magpies)"
"7","Boreal Chickadee","Poecile hudsonicus","Passeriformes","Paridae (Tits, Chickadees, and Titmice)"
"8","Brown Thrasher","Toxostoma rufum","Passeriformes","Mimidae (Mockingbirds and Thrashers)"
"9","Brown-headed Cowbird","Molothrus ater","Passeriformes","Icteridae (Troupials and Allies)"
"10","Common Eider","Somateria mollissima","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"11","Common Goldeneye","Bucephala clangula","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"12","Common Grackle","Quiscalus quiscula","Passeriformes","Icteridae (Troupials and Allies)"
"13","Common Raven","Corvus corax","Passeriformes","Corvidae (Crows, Jays, and Magpies)"
"14","Dickcissel","Spiza americana","Passeriformes","Cardinalidae (Cardinals and Allies)"
"15","Dovekie","Alle alle","Charadriiformes","Alcidae (Auks, Murres, and Puffins)"
"16","Downy Woodpecker","Dryobates pubescens","Piciformes","Picidae (Woodpeckers)"
"17","Eastern Towhee","Pipilo erythrophthalmus","Passeriformes","Passerellidae (New World Sparrows)"
"18","European Starling","Sturnus vulgaris","Passeriformes","Sturnidae (Starlings)"
"19","Evening Grosbeak","Coccothraustes vespertinus","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)"
"20","Field Sparrow","Spizella pusilla","Passeriformes","Passerellidae (New World Sparrows)"
"21","Fox Sparrow","Passerella iliaca","Passeriformes","Passerellidae (New World Sparrows)"
"22","Canada Jay","Perisoreus canadensis","Passeriformes","Corvidae (Crows, Jays, and Magpies)"
"23","Great Black-backed Gull","Larus marinus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)"
"24","Great Cormorant","Phalacrocorax carbo","Suliformes","Phalacrocoracidae (Cormorants and Shags)"
"25","Greater Scaup","Aythya marila","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"26","Hairy Woodpecker","Dryobates villosus","Piciformes","Picidae (Woodpeckers)"
"27","Horned Grebe","Podiceps auritus","Podicipediformes","Podicipedidae (Grebes)"
"28","Horned Lark","Eremophila alpestris","Passeriformes","Alaudidae (Larks)"
"29","House Sparrow","Passer domesticus","Passeriformes","Passeridae (Old World Sparrows)"
"30","Killdeer","Charadrius vociferus","Charadriiformes","Charadriidae (Plovers and Lapwings)"
"31","King Eider","Somateria spectabilis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"32","Long-tailed Duck","Clangula hyemalis","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"33","Mourning Dove","Zenaida macroura","Columbiformes","Columbidae (Pigeons and Doves)"
"34","Northern Mockingbird","Mimus polyglottos","Passeriformes","Mimidae (Mockingbirds and Thrashers)"
"35","Pied-billed Grebe","Podilymbus podiceps","Podicipediformes","Podicipedidae (Grebes)"
"36","Purple Sandpiper","Calidris maritima","Charadriiformes","Scolopacidae (Sandpipers and Allies)"
"37","Red-winged Blackbird","Agelaius phoeniceus","Passeriformes","Icteridae (Troupials and Allies)"
"38","Ring-necked Pheasant","Phasianus colchicus","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)"
"39","Ruffed Grouse","Bonasa umbellus","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)"
"40","Rusty Blackbird","Euphagus carolinus","Passeriformes","Icteridae (Troupials and Allies)"
"41","White-crowned Sparrow","Zonotrichia leucophrys","Passeriformes","Passerellidae (New World Sparrows)"
"42","White-winged Scoter","Melanitta deglandi","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"43","American Crow","Corvus brachyrhynchos","Passeriformes","Corvidae (Crows, Jays, and Magpies)"
"44","American Goldfinch","Spinus tristis","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)"
"45","American Wigeon","Mareca americana","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"46","Bald Eagle","Haliaeetus leucocephalus","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)"
"47","Barred Owl","Strix varia","Strigiformes","Strigidae (Owls)"
"48","Black Guillemot","Cepphus grylle","Charadriiformes","Alcidae (Auks, Murres, and Puffins)"
"49","Bufflehead","Bucephala albeola","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"50","Cedar Waxwing","Bombycilla cedrorum","Passeriformes","Bombycillidae (Waxwings)"
"51","Common Loon","Gavia immer","Gaviiformes","Gaviidae (Loons)"
"52","Cooper's Hawk","Accipiter cooperii","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)"
"53","Double-crested Cormorant","Nannopterum auritum","Suliformes","Phalacrocoracidae (Cormorants and Shags)"
"54","Golden-crowned Kinglet","Regulus satrapa","Passeriformes","Regulidae (Kinglets)"
"55","Harlequin Duck","Histrionicus histrionicus","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
"56","Hooded Merganser","Lophodytes cucullatus","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)"
