Family,Number of Species,% decrease,% increase,% no change,% not enough data
"Accipitridae (Hawks, Eagles, and Kites)",9,0.00,33.33,44.44,22.22
Alaudidae (Larks),1,100.00,0.00,0.00,0.00
Alcedinidae (Kingfishers),1,0.00,0.00,100.00,0.00
"Alcidae (Auks, Murres, and Puffins)",5,20.00,40.00,20.00,20.00
"Anatidae (Ducks, Geese, and Waterfowl)",28,25.00,25.00,28.57,21.43
"Ardeidae (Herons, Egrets, and Bitterns)",1,0.00,0.00,100.00,0.00
Bombycillidae (Waxwings),2,0.00,50.00,50.00,0.00
Calcariidae (Longspurs and Snow Buntings),2,0.00,0.00,50.00,50.00
Cardinalidae (Cardinals and Allies),2,50.00,50.00,0.00,0.00
Certhiidae (Treecreepers),1,0.00,0.00,100.00,0.00
Charadriidae (Plovers and Lapwings),2,50.00,0.00,0.00,50.00
Columbidae (Pigeons and Doves),2,50.00,50.00,0.00,0.00
"Corvidae (Crows, Jays, and Magpies)",4,75.00,25.00,0.00,0.00
Falconidae (Falcons and Caracaras),3,0.00,0.00,66.67,33.33
"Fringillidae (Finches, Euphonias, and Allies)",9,11.11,33.33,55.56,0.00
Gaviidae (Loons),3,0.00,66.67,33.33,0.00
Icteridae (Troupials and Allies),6,83.33,0.00,0.00,16.67
Icteriidae (Yellow-breasted Chat),1,0.00,0.00,0.00,100.00
Laniidae (Shrikes),1,100.00,0.00,0.00,0.00
"Laridae (Gulls, Terns, and Skimmers)",9,22.22,11.11,55.56,11.11
Mimidae (Mockingbirds and Thrashers),3,66.67,0.00,33.33,0.00
Motacillidae (Wagtails and Pipits),1,0.00,0.00,0.00,100.00
Odontophoridae (New World Quail),1,0.00,0.00,0.00,100.00
"Paridae (Tits, Chickadees, and Titmice)",3,66.67,33.33,0.00,0.00
Parulidae (New World Warblers),6,0.00,0.00,33.33,66.67
Passerellidae (New World Sparrows),13,38.46,0.00,38.46,23.08
Passeridae (Old World Sparrows),1,100.00,0.00,0.00,0.00
Phalacrocoracidae (Cormorants and Shags),2,50.00,50.00,0.00,0.00
"Phasianidae (Pheasants, Grouse, and Allies)",4,50.00,25.00,25.00,0.00
Picidae (Woodpeckers),9,22.22,33.33,22.22,22.22
Podicipedidae (Grebes),3,66.67,33.33,0.00,0.00
Regulidae (Kinglets),2,0.00,50.00,50.00,0.00
Scolopacidae (Sandpipers and Allies),4,25.00,0.00,25.00,50.00
Sittidae (Nuthatches),2,0.00,0.00,100.00,0.00
Strigidae (Owls),6,0.00,16.67,33.33,50.00
Sturnidae (Starlings),1,100.00,0.00,0.00,0.00
Sulidae (Boobies and Gannets),1,0.00,100.00,0.00,0.00
Troglodytidae (Wrens),2,0.00,0.00,50.00,50.00
Turdidae (Thrushes and Allies),5,0.00,0.00,40.00,60.00
Tyrannidae (Tyrant Flycatchers),1,0.00,0.00,0.00,100.00
