"","Common name","Total count/party hour","Species trend"
"1","Common Eider",2822.563,"decrease"
"2","Herring Gull",1549.096,"no change"
"3","American Black Duck",438.535,"no change"
"4","Long-tailed Duck",419.432,"decrease"
"5","White-winged Scoter",407.068,"decrease"
"6","Bufflehead",365.543,"increase"
"7","American Crow",270.136,"increase"
"8","Black-capped Chickadee",250.89,"decrease"
"9","Common Goldeneye",231.707,"decrease"
"10","Mallard",177.376,"increase"
"11","Mourning Dove",164.983,"decrease"
"12","European Starling",123.694,"decrease"
"13","Greater Scaup",108.412,"decrease"
"14","Blue Jay",88.418,"decrease"
"15","Red-breasted Merganser",85.56,"increase"
"16","Great Black-backed Gull",82.967,"decrease"
"17","Rock Pigeon",82.186,"increase"
"18","Purple Sandpiper",82.057,"decrease"
"19","Horned Grebe",73.912,"decrease"
"20","American Goldfinch",73.574,"increase"
"21","Common Loon",67.344,"increase"
"22","Red-necked Grebe",64.268,"increase"
"23","Ring-billed Gull",56.062,"increase"
"24","Evening Grosbeak",52.611,"decrease"
"25","Dark-eyed Junco",45.798,"no change"
"26","Black Guillemot",41.873,"increase"
"27","Red-breasted Nuthatch",35.6,"no change"
"28","Canada Goose",34.976,"no change"
